City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
252,colby,39.3958,-101.0524,282.59,89,100,9.77,US,1706989384
253,bathsheba,13.2167,-59.5167,302.49,70,20,5.14,BB,1706989384
254,gaigeturi,33.4644,126.3183,283.18,87,100,5.66,KR,1706989384
255,lompoc,34.6391,-120.4579,287.55,67,100,2.57,US,1706989176
256,challapata,-18.9,-66.7667,290.72,25,6,8.58,BO,1706989385
257,rapar,23.5667,70.6333,295.32,47,3,4.3,IN,1706989385
258,iskateley,67.6803,53.1512,260.38,85,24,6.71,RU,1706989385
259,corn island,12.1694,-83.0418,299.59,73,0,3.17,NI,1706989385
260,kone,-21.0595,164.8658,300.47,86,93,2.66,NC,1706989385
261,san antonio de pale,-1.4014,5.6325,301.41,76,100,3.44,GQ,1706989385
262,ghat,24.9647,10.1728,285.34,23,0,2.54,LY,1706989386
263,dwarka,22.2394,68.9678,296.27,73,0,4.22,IN,1706989386
264,port macquarie,-31.4333,152.9167,294.2,89,83,4.34,AU,1706989284
265,talnakh,69.4865,88.3972,258.82,96,100,3.79,RU,1706989386
266,junin,-34.5838,-60.9433,314.28,13,39,6.68,AR,1706989386
267,nuuk,64.1835,-51.7216,261.49,61,75,6.69,GL,1706989386
268,mexia,31.6799,-96.4822,291.18,83,75,3.09,US,1706989386
269,amfissa,38.525,22.3731,281.21,76,4,1.58,GR,1706989386
270,remire-montjoly,4.9167,-52.2667,303.17,74,75,5.14,GF,1706989386
271,kapuskasing,49.4169,-82.4331,276.2,64,0,4.12,CA,1706989387
272,fort bragg,35.139,-79.006,286.94,44,0,3.6,US,1706989387
273,itamaraca,-7.7478,-34.8256,303.18,66,12,4.86,BR,1706989387
274,nadi,-17.8,177.4167,298.15,88,75,2.57,FJ,1706989387
275,springbok,-29.6643,17.8865,295.84,61,41,2.12,ZA,1706989387
276,jaca,42.569,-0.5499,282.18,69,17,1.34,ES,1706989387
277,aral,40.5156,81.2636,271.55,59,100,1.92,CN,1706989387
278,mizhhirya,48.5246,23.5056,274.87,99,100,1.63,UA,1706989388
279,vila franca do campo,37.7167,-25.4333,289.38,84,97,3.41,PT,1706989175
280,pangody,65.85,74.4859,255.54,98,100,2.13,RU,1706989388
281,salekhard,66.53,66.6019,246.05,100,99,0.44,RU,1706989388
282,skeldon,5.8833,-57.1333,301.97,67,52,3.97,GY,1706989388
283,tokar,18.4254,37.729,294.69,57,7,3.34,SD,1706989389
284,bolobo,-2.1667,16.2333,298.99,75,100,1.2,CD,1706989389
285,merizo village,13.2658,144.6691,298.0,94,89,11.25,GU,1706989389
286,happy valley-goose bay,53.3168,-60.3315,257.32,55,0,3.09,CA,1706989389
287,diamantino,-14.4086,-56.4461,298.0,81,100,3.06,BR,1706989389
